Lg,W_500,G,WLP,Coach Name,L,W,PlayOff-W,PlayOff-L,Playoff-WLP,PlayOff-G
NBA,146.5,1791,.582,Rick Adelman,749,1042,79,78,.503,157
NBA,-56.5,367,.346,Richie Adubato,240,127,2,6,.250,8
NBA,23.0,226,.602,Danny Ainge,90,136,3,9,.250,12
TOT,11.5,645,.518,Stan Albeck,311,334,18,26,.409,44
ABA,31.0,168,.685,LaDell Andersen,53,115,13,8,.619,21
ABA,0.0,2,.500,Jack Ankerson,1,1,NA,NA,NA,NA
BAA,-5.0,54,.407,Curly Armstrong,32,22,NA,NA,NA,NA
NBA,19.5,1075,.518,Al Attles,518,557,31,30,.508,61
TOT,229.5,1417,.662,Red Auerbach,479,938,99,69,.589,168
NBA,-5.0,52,.404,Randy Ayers,31,21,NA,NA,NA,NA
NBA,-38.5,267,.356,Johnny Bach,172,95,NA,NA,NA,NA
NBA,2.0,164,.512,Ed Badger,80,84,1,2,.333,3
NBA,3.0,120,.525,Cliff Barker,57,63,3,3,.500,6
NBA,-10.0,52,.308,Tony Barone,36,16,NA,NA,NA,NA
NBA,-1.0,2,.000,Tom Barrise,2,0,NA,NA,NA,NA
TOT,5.5,611,.509,Bob Bass,300,311,13,28,.317,41
NBA,-24.5,221,.389,Elgin Baylor,135,86,NA,NA,NA,NA
NBA,-22.0,164,.366,Butch Beard,104,60,NA,NA,NA,NA
ABA,-12.0,42,.214,Zelmo Beaty,33,9,NA,NA,NA,NA
NBA,-37.5,139,.230,Clair Bee,107,32,0,2,.000,2
ABA,10.5,69,.652,Joe Belmont,24,45,5,7,.417,12
BAA,-3.0,6,.000,Carl Bennett,6,0,NA,NA,NA,NA
NBA,-1.0,2,.000,Bill Berry,2,0,NA,NA,NA,NA
NBA,0.5,3,.667,Bill Bertka,1,2,NA,NA,NA,NA
TOT,-54.5,675,.419,Al Bianchi,392,283,18,22,.450,40
NBA,-49.5,937,.447,Bernie Bickerstaff,518,419,12,21,.364,33
NBA,1.0,44,.523,JB Bickerstaff,21,23,0,0,NA,0
ABA,-16.0,74,.284,Mark Binstein,53,21,NA,NA,NA,NA
TOT,-13.5,267,.449,Paul Birch,147,120,4,10,.286,14
NBA,40.0,214,.687,Larry Bird,67,147,32,20,.615,52
NBA,-25.0,108,.269,Bill Blair,79,29,0,2,.000,2
ABA,-7.5,65,.385,Bill Blakeley,40,25,0,4,.000,4
NBA,21.5,123,.675,David Blatt,40,83,14,6,.700,20
ABA,-20.0,112,.321,Harold Blitman,76,36,NA,NA,NA,NA
NBA,-5.0,30,.333,James Borrego,20,10,0,0,NA,0
NBA,-2.5,165,.485,Vince Boryla,85,80,NA,NA,NA,NA
NBA,-2.5,73,.466,Jeff Bower,39,34,NA,NA,NA,NA
NBA,-7.0,106,.434,Jim Boylan,60,46,0,4,.000,4
NBA,-23.5,127,.315,Carl Braun,87,40,NA,NA,NA,NA
ABA,-6.0,36,.333,Al Brightman,24,12,NA,NA,NA,NA
NBA,2.0,410,.505,Allan Bristow,203,207,5,8,.385,13
NBA,65.5,545,.620,Scott Brooks,207,338,39,34,.534,73
NBA,-4.0,18,.278,Jim Brovelli,13,5,NA,NA,NA,NA
NBA,-63.5,217,.207,Brett Brown,172,45,0,0,NA,0
ABA,-2.0,12,.333,Dave Brown,8,4,NA,NA,NA,NA
NBA,-1.0,146,.493,Herb Brown,74,72,5,7,.417,12
TOT,-15.5,1087,.486,Hubie Brown,559,528,31,32,.492,63
TOT,158.0,2338,.568,Larry Brown,1011,1327,120,115,.511,235
NBA,65.5,563,.616,Mike Brown,216,347,47,36,.566,83
NBA,-4.5,17,.235,Tony Brown,13,4,0,0,NA,0
TOT,10.5,79,.633,Philip Brownstein,29,50,0,2,.000,2
NBA,-28.0,82,.159,Quinn Buckner,69,13,NA,NA,NA,NA
TOT,-9.5,93,.398,Bucky Buckwalter,56,37,NA,NA,NA,NA
NBA,19.5,219,.589,Mike Budenholzer,90,129,11,12,.478,23
NBA,-4.5,29,.345,Walt Budko,19,10,NA,NA,NA,NA
NBA,-4.0,112,.464,Donnie Butcher,60,52,2,4,.333,6
NBA,-23.0,192,.380,Jeff Bzdelik,119,73,1,4,.200,5
NBA,-20.0,184,.391,John Calipari,112,72,0,3,.000,3
TOT,-3.0,8,.125,Mack Calvin,7,1,NA,NA,NA,NA
NBA,-3.5,23,.348,Kaleb Canales,15,8,0,0,NA,0
NBA,-38.0,554,.431,PJ Carlesimo,315,239,6,13,.316,19
NBA,95.5,1105,.586,Rick Carlisle,457,648,57,58,.496,115
ABA,-12.0,252,.452,Lou Carnesecca,138,114,13,17,.433,30
NBA,-34.0,164,.293,ML Carr,116,48,NA,NA,NA,NA
NBA,-4.0,36,.389,John Carroll,22,14,0,4,.000,4
NBA,-9.5,165,.442,Butch Carter,92,73,0,3,.000,3
NBA,-22.0,108,.296,Fred Carter,76,32,NA,NA,NA,NA
NBA,-24.5,151,.338,Bill Cartwright,100,51,NA,NA,NA,NA
NBA,-34.0,238,.357,Don Casey,153,85,NA,NA,NA,NA
NBA,-1.0,486,.498,Dwane Casey,244,242,3,8,.273,11
NBA,-7.0,36,.306,John Castellani,25,11,NA,NA,NA,NA
ABA,15.0,78,.692,Vince Cazzetta,24,54,11,4,.733,15
NBA,42.5,567,.575,Al Cervi,241,326,33,26,.559,59
ABA,-5.0,84,.440,Wilt Chamberlain,47,37,2,4,.333,6
NBA,-78.5,831,.406,Don Chaney,494,337,2,9,.182,11
NBA,-5.0,620,.492,Maurice Cheeks,315,305,5,11,.313,16
ABA,-5.5,39,.359,John Clark,25,14,NA,NA,NA,NA
NBA,-21.0,98,.286,Jim Cleamons,70,28,NA,NA,NA,NA
BAA,1.5,23,.565,Roy Clifford,10,13,1,2,.333,3
NBA,-5.5,217,.475,Steve Clifford,114,103,0,4,.000,4
BAA,3.0,60,.550,Neil Cohalan,27,33,2,3,.400,5
NBA,-0.5,119,.496,Jerry Colangelo,60,59,3,4,.429,7
NBA,17.5,849,.521,Doug Collins,407,442,23,33,.411,56
NBA,-3.0,14,.286,Michael Cooper,10,4,NA,NA,NA,NA
NBA,-24.0,286,.416,Tyrone Corbin,167,119,0,4,.000,4
NBA,65.0,730,.589,Larry Costello,300,430,37,23,.617,60
NBA,-33.0,348,.405,Bob Cousy,207,141,NA,NA,NA,NA
NBA,-15.0,352,.457,Dave Cowens,191,161,4,8,.333,12
NBA,129.0,650,.698,Billy Cunningham,196,454,66,39,.629,105
NBA,-2.0,82,.476,Michael Curry,43,39,0,4,.000,4
BAA,-5.0,34,.353,Glenn Curtis,22,12,NA,NA,NA,NA
NBA,14.5,881,.516,Mike DAntoni,426,455,26,33,.441,59
NBA,100.5,1075,.593,Chuck Daly,437,638,75,51,.595,126
NBA,-1.0,2,.000,Mel Daniels,2,0,NA,NA,NA,NA
NBA,-20.0,62,.177,Jimmy Darden,51,11,NA,NA,NA,NA
NBA,-36.5,219,.333,Johnny Davis,146,73,NA,NA,NA,NA
NBA,-32.0,222,.356,Dave DeBusschere,143,79,NA,NA,NA,NA
