url,college,from,name,weight,to,active,position,dob,height
http://www.basketball-reference.com/players/a/abdelal01.html,Duke University,1991,Alaa Abdelnaby,240,1995,False,F-C,24-6-1968,6-10
http://www.basketball-reference.com/players/a/abdulza01.html,Iowa State University,1969,Zaid Abdul-Aziz,235,1978,False,C-F,7-4-1946,6-9
http://www.basketball-reference.com/players/a/abdulka01.html,"University of California, Los Angeles",1970,Kareem Abdul-Jabbar,225,1989,False,C,16-4-1947,7-2
http://www.basketball-reference.com/players/a/abdulma02.html,Louisiana State University,1991,Mahmoud Abdul-Rauf,162,2001,False,G,9-3-1969,6-1
http://www.basketball-reference.com/players/a/abdulta01.html,San Jose State University,1998,Tariq Abdul-Wahad,223,2003,False,F,3-11-1974,6-6
http://www.basketball-reference.com/players/a/abdursh01.html,University of California,1997,Shareef Abdur-Rahim,225,2008,False,F,11-12-1976,6-9
http://www.basketball-reference.com/players/a/abernto01.html,Indiana University,1977,Tom Abernethy,220,1981,False,F,6-5-1954,6-7
http://www.basketball-reference.com/players/a/ablefo01.html,Western Kentucky University,1957,Forest Able,180,1957,False,G,27-7-1932,6-3
http://www.basketball-reference.com/players/a/abramjo01.html,Salem International University,1947,John Abramovic,195,1948,False,F,9-2-1919,6-3
http://www.basketball-reference.com/players/a/ackeral01.html,Pepperdine University,2006,Alex Acker,185,2009,False,G,21-1-1983,6-5
http://www.basketball-reference.com/players/a/ackerdo01.html,Long Island University,1954,Don Ackerman,183,1954,False,G,4-9-1930,6-0
http://www.basketball-reference.com/players/a/acresma01.html,Oral Roberts University,1988,Mark Acres,220,1993,False,F-C,15-11-1962,6-11
http://www.basketball-reference.com/players/a/actonbu01.html,Hillsdale College,1968,Bud Acton,210,1968,False,F,11-1-1942,6-6
http://www.basketball-reference.com/players/a/acyqu01.html,Baylor University,2013,Quincy Acy,240,2016,True,F,6-10-1990,6-7
http://www.basketball-reference.com/players/a/adamsal01.html,University of Oklahoma,1976,Alvan Adams,210,1988,False,C-F,19-7-1954,6-9
http://www.basketball-reference.com/players/a/adamsdo01.html,Northwestern University,1971,Don Adams,210,1977,False,F,27-11-1947,6-6
http://www.basketball-reference.com/players/a/adamsge01.html,Gardner-Webb University,1973,George Adams,210,1975,False,F-G,15-5-1949,6-5
http://www.basketball-reference.com/players/a/adamsha01.html,University of Arizona,2007,Hassan Adams,220,2009,False,G,20-6-1984,6-4
http://www.basketball-reference.com/players/a/adamsjo01.html,"University of California, Los Angeles",2015,Jordan Adams,209,2016,True,G,8-7-1994,6-5
http://www.basketball-reference.com/players/a/adamsmi01.html,Boston College,1986,Michael Adams,162,1996,False,G,19-1-1963,5-10
http://www.basketball-reference.com/players/a/adamsst01.html,University of Pittsburgh,2014,Steven Adams,255,2016,True,C,20-7-1993,7-0
http://www.basketball-reference.com/players/a/addisra01.html,Syracuse University,1987,Rafael Addison,215,1997,False,F-G,22-7-1964,6-7
http://www.basketball-reference.com/players/a/adelmri01.html,Loyola Marymount University,1969,Rick Adelman,175,1975,False,G,16-6-1946,6-1
http://www.basketball-reference.com/players/a/adrieje01.html,University of Connecticut,2011,Jeff Adrien,245,2015,True,F,10-2-1986,6-7
http://www.basketball-reference.com/players/a/afflaar01.html,"University of California, Los Angeles",2008,Arron Afflalo,210,2016,True,G,15-10-1985,6-5
http://www.basketball-reference.com/players/a/agerma01.html,Michigan State University,2007,Maurice Ager,202,2011,False,G,9-2-1984,6-5
http://www.basketball-reference.com/players/a/aguirma01.html,DePaul University,1982,Mark Aguirre,232,1994,False,F-G,10-12-1959,6-6
http://www.basketball-reference.com/players/a/ahearbl01.html,Missouri State University,2008,Blake Ahearn,190,2012,False,G,27-5-1984,6-2
http://www.basketball-reference.com/players/a/aingeda01.html,Brigham Young University,1982,Danny Ainge,175,1995,False,G,17-3-1959,6-4
http://www.basketball-reference.com/players/a/aitchma01.html,Michigan State University,1968,Matthew Aitch,230,1968,False,F,21-9-1944,6-7
http://www.basketball-reference.com/players/a/ajincal01.html,NA,2009,Alexis Ajinca,248,2016,True,C,6-5-1988,7-2
http://www.basketball-reference.com/players/a/akinhe01.html,Morehead State University,1967,Henry Akin,225,1969,False,C-F,31-7-1944,6-10
http://www.basketball-reference.com/players/a/akognjo01.html,"California State University, Fullerton",2013,Josh Akognon,185,2013,True,G,10-2-1986,5-11
http://www.basketball-reference.com/players/a/alabiso01.html,Florida State University,2011,Solomon Alabi,251,2012,True,C,21-3-1988,7-1
http://www.basketball-reference.com/players/a/alarima01.html,Duke University,1987,Mark Alarie,217,1991,False,F,11-12-1963,6-8
http://www.basketball-reference.com/players/a/alcorga01.html,"California State University, Fresno",1960,Gary Alcorn,225,1961,False,C,8-10-1936,6-9
http://www.basketball-reference.com/players/a/aldemfu01.html,NA,2015,Furkan Aldemir,240,2015,True,F-C,9-8-1991,6-10
http://www.basketball-reference.com/players/a/aldrico01.html,University of Kansas,2011,Cole Aldrich,250,2016,True,C,31-10-1988,6-11
http://www.basketball-reference.com/players/a/aldrila01.html,University of Texas at Austin,2007,LaMarcus Aldridge,240,2016,True,F,19-7-1985,6-11
http://www.basketball-reference.com/players/a/aleksch01.html,University of Connecticut,1985,Chuck Aleksinas,260,1985,False,C,26-2-1959,6-11
http://www.basketball-reference.com/players/a/alexacl01.html,University of Kansas,2016,Cliff Alexander,240,2016,True,F,16-11-1995,6-8
http://www.basketball-reference.com/players/a/alexaco01.html,University of Virginia,1996,Cory Alexander,185,2005,False,G,22-6-1973,6-1
http://www.basketball-reference.com/players/a/alexaco02.html,"California State University, Fresno",2001,Courtney Alexander,205,2003,False,G,27-4-1977,6-5
http://www.basketball-reference.com/players/a/alexaga01.html,University of South Florida,1994,Gary Alexander,240,1994,False,F,1-11-1969,6-7
http://www.basketball-reference.com/players/a/alexajo01.html,West Virginia University,2009,Joe Alexander,230,2010,False,F,26-12-1986,6-8
http://www.basketball-reference.com/players/a/alexavi01.html,Iowa State University,1992,Victor Alexander,265,2002,False,C-F,31-8-1969,6-9
http://www.basketball-reference.com/players/a/alforst01.html,Indiana University,1988,Steve Alford,183,1991,False,G,23-11-1964,6-2
http://www.basketball-reference.com/players/a/allenbi01.html,New Mexico State University,1968,Bill Allen,205,1968,False,C-F,NA,6-8
http://www.basketball-reference.com/players/a/allenbo01.html,Marshall University,1969,Bob Allen,205,1969,False,F,17-7-1946,6-9
http://www.basketball-reference.com/players/a/allenje01.html,University of Pennsylvania,1996,Jerome Allen,184,1997,False,G,28-1-1973,6-4
http://www.basketball-reference.com/players/a/allenla01.html,Temple University,2012,Lavoy Allen,255,2016,True,F-C,4-2-1989,6-9
http://www.basketball-reference.com/players/a/allenlu01.html,"University of California, Los Angeles",1970,Lucius Allen,175,1979,False,G,26-9-1947,6-2
http://www.basketball-reference.com/players/a/allenma01.html,Villanova University,2002,Malik Allen,255,2011,False,F,27-6-1978,6-10
http://www.basketball-reference.com/players/a/allenra01.html,Florida State University,1989,Randy Allen,220,1990,False,F,26-1-1965,6-8
http://www.basketball-reference.com/players/a/allenra02.html,University of Connecticut,1997,Ray Allen,205,2014,False,G,20-7-1975,6-5
http://www.basketball-reference.com/players/a/allento01.html,Oklahoma State University,2005,Tony Allen,213,2016,True,G-F,11-1-1982,6-4
http://www.basketball-reference.com/players/a/allenwi01.html,University of Miami,1972,Willie Allen,230,1972,False,F,8-2-1949,6-6
http://www.basketball-reference.com/players/a/allisod01.html,"University of Nevada, Las Vegas",1972,Odis Allison,195,1972,False,F,2-10-1949,6-6
http://www.basketball-reference.com/players/a/allrela01.html,Weber State University,2008,Lance Allred,250,2008,False,C,2-2-1981,6-11
http://www.basketball-reference.com/players/a/allumda01.html,"University of California, Los Angeles",1981,Darrell Allums,220,1981,False,F,12-9-1958,6-9
http://www.basketball-reference.com/players/a/almonmo01.html,Rice University,2008,Morris Almond,225,2012,False,G,2-2-1985,6-6
http://www.basketball-reference.com/players/a/alstode01.html,Duquesne University,1995,Derrick Alston,225,1997,False,F,20-8-1972,6-11
http://www.basketball-reference.com/players/a/alstora01.html,"California State University, Fresno",2000,Rafer Alston,171,2010,False,G,24-7-1976,6-2
http://www.basketball-reference.com/players/a/alumape01.html,Liberty University,1999,Peter Aluma,260,1999,False,C,23-4-1973,6-10
http://www.basketball-reference.com/players/a/amaecjo01.html,Pennsylvania State University,1996,John Amaechi,270,2003,False,C-F,26-11-1970,6-10
http://www.basketball-reference.com/players/a/amayaas01.html,Southern Illinois University,1996,Ashraf Amaya,230,1997,False,F,23-11-1971,6-8
http://www.basketball-reference.com/players/a/aminual01.html,Wake Forest University,2011,Al-Farouq Aminu,215,2016,True,F,21-9-1990,6-9
http://www.basketball-reference.com/players/a/amundlo01.html,"University of Nevada, Las Vegas",2007,Lou Amundson,220,2016,True,F,7-12-1982,6-9
http://www.basketball-reference.com/players/a/anderbo01.html,Michigan State University,1960,Bob Anderegg,200,1960,False,F-G,24-8-1937,6-3
http://www.basketball-reference.com/players/a/anderch01.html,Blinn College,2002,Chris Andersen,245,2016,True,F-C,7-7-1978,6-10
