Lg,TRB,2P,BLK,G,STL,Age,3P,TOV,L,2PA,Tm,FT,W,FG,FG%,DRB,PTS,3PA,FTA,Finish,AST,Season,Ht,3P%,Wt,2P%,MP,PF,FT%,ORB,FGA
NBA,2218,1573,296,54,506,28.1,503,815,24,3070,ATL,864,30,2076,.459,1762,5519,1449,1101,2,1369,2015-16,6-6,.347,218,.512,13010,1021,.785,456,4519
NBA,3326,2303,380,82,744,27.8,818,1167,22,4547,ATL,1349,60,3121,.466,2611,8409,2152,1735,1,2111,2014-15,6-6,.380,218,.506,19730,1457,.778,715,6699
NBA,3278,2293,326,82,680,27.6,768,1251,44,4572,ATL,1392,38,3061,.458,2565,8282,2116,1782,4,2041,2013-14,6-6,.363,220,.502,19830,1577,.781,713,6688
NBA,3351,2378,369,82,664,27.1,706,1219,38,4743,ATL,1158,44,3084,.464,2593,8032,1901,1619,2,2007,2012-13,6-6,.371,215,.501,19855,1473,.715,758,6644
NBA,2718,1937,303,66,536,27.9,492,921,26,4018,ATL,1025,40,2429,.454,2066,6375,1330,1385,2,1481,2011-12,6-7,.370,215,.482,16165,1178,.740,652,5348
NBA,3222,2469,341,82,497,27.4,502,1118,38,5002,ATL,1346,44,2971,.462,2460,7790,1427,1728,3,1802,2010-11,6-7,.352,219,.494,19730,1554,.779,762,6429
NBA,3420,2657,413,82,592,26.5,524,980,29,5346,ATL,1452,53,3181,.468,2451,8338,1455,1914,2,1789,2009-10,6-7,.360,219,.497,19855,1632,.759,969,6801
NBA,3282,2359,376,82,603,25.8,597,1048,35,4818,ATL,1537,47,2956,.458,2412,8046,1633,2085,2,1657,2008-09,6-6,.366,219,.490,19705,1610,.737,870,6451
NBA,3462,2591,448,82,600,24.2,384,1223,45,5474,ATL,1720,37,2975,.454,2454,8054,1078,2227,3,1804,2007-08,6-7,.356,220,.473,19855,1673,.772,1008,6552
NBA,3288,2490,446,82,609,24.1,341,1306,52,5334,ATL,1677,30,2831,.444,2312,7680,1038,2203,5,1573,2006-07,6-7,.329,216,.467,19880,1970,.761,976,6372
NBA,3301,2522,394,82,587,22.7,424,1284,56,5342,ATL,1656,26,2946,.454,2232,7972,1154,2207,5,1625,2005-06,6-7,.367,221,.472,19880,2054,.750,1069,6496
NBA,3435,2638,344,82,629,26.0,304,1319,69,5699,ATL,1417,13,2942,.441,2335,7605,973,1994,5,1614,2004-05,6-7,.312,220,.463,19855,2009,.711,1100,6672
NBA,3503,2410,408,82,627,26.2,419,1350,54,5280,ATL,1534,28,2829,.433,2507,7611,1249,1976,7,1648,2003-04,6-6,.335,214,.456,19905,1826,.776,996,6529
NBA,3495,2457,473,82,611,27.2,402,1367,47,5293,ATL,1594,35,2859,.444,2558,7714,1141,2011,5,1679,2002-03,6-6,.352,215,.464,19905,1783,.793,937,6434
NBA,3400,2478,350,82,667,25.7,423,1275,49,5416,ATL,1486,33,2901,.439,2445,7711,1194,1942,6,1656,2001-02,6-7,.354,210,.458,19780,1702,.765,955,6610
NBA,3518,2543,387,82,634,26.1,333,1368,57,5735,ATL,1374,25,2876,.431,2490,7459,933,1811,7,1559,2000-01,6-6,.357,211,.443,19730,1863,.759,1028,6668
NBA,3716,2742,461,82,500,27.6,258,1266,54,5993,ATL,1477,28,3000,.441,2570,7735,814,1987,7,1548,1999-00,6-7,.317,219,.458,19830,1718,.743,1146,6807
NBA,2175,1342,260,50,346,29.6,197,745,19,3116,ATL,1040,31,1539,.409,1499,4315,644,1422,2,782,1998-99,6-7,.306,216,.431,12075,987,.731,676,3760
NBA,3523,2550,491,82,653,29.4,337,1214,32,5336,ATL,1749,50,2887,.455,2417,7860,1016,2314,4,1569,1997-98,6-7,.332,214,.478,19880,1671,.756,1106,6352
NBA,3371,2153,427,82,701,28.8,659,1228,26,4473,ATL,1491,56,2812,.446,2350,7774,1834,1955,2,1557,1996-97,6-7,.359,215,.481,19805,1591,.763,1021,6307
NBA,3371,2153,427,82,701,28.8,659,1228,26,4473,ATL,1491,56,2812,.446,2350,7774,1834,1955,2,1557,1996-97,6-7,.359,215,.481,19805,1591,.763,1021,6307
