Salary,Season,Player,Link,Team Name
"$19,000,000",2015-16,Paul Millsap,ATL,AtlantaHawks
"$12,000,000",2015-16,Al Horford,ATL,AtlantaHawks
"$8,500,000",2015-16,Tiago Splitter,ATL,AtlantaHawks
"$8,000,000",2015-16,Jeff Teague,ATL,AtlantaHawks
"$5,746,479",2015-16,Kyle Korver,ATL,AtlantaHawks
"$4,000,000",2015-16,Thabo Sefolosha,ATL,AtlantaHawks
"$3,333,333",2015-16,Mike Scott,ATL,AtlantaHawks
"$2,433,333",2015-16,Shelvin Mack,ATL,AtlantaHawks
"$2,000,000",2015-16,Kent Bazemore,ATL,AtlantaHawks
"$1,763,400",2015-16,Dennis Schroder,ATL,AtlantaHawks
"$1,304,520",2015-16,Tim Hardaway,ATL,AtlantaHawks
"$1,000,000",2015-16,Walter Tavares,ATL,AtlantaHawks
"$947,300",2015-16,Justin Holiday,ATL,AtlantaHawks
"$947,276",2015-16,Mike Muscala,ATL,AtlantaHawks
"$525,093",2015-16,Lamar Patterson,ATL,AtlantaHawks
"$75,000",2015-16,Terran Petteway,ATL,AtlantaHawks
"$12,000,000",2014-15,Al Horford,ATL,AtlantaHawks
"$9,500,000",2014-15,Paul Millsap,ATL,AtlantaHawks
"$8,000,000",2014-15,Jeff Teague,ATL,AtlantaHawks
"$6,253,521",2014-15,Kyle Korver,ATL,AtlantaHawks
"$4,150,000",2014-15,Thabo Sefolosha,ATL,AtlantaHawks
"$3,333,333",2014-15,Mike Scott,ATL,AtlantaHawks
"$2,442,455",2014-15,DeMarre Carroll,ATL,AtlantaHawks
"$2,433,333",2014-15,Shelvin Mack,ATL,AtlantaHawks
"$2,000,000",2014-15,Kent Bazemore,ATL,AtlantaHawks
"$2,000,000",2014-15,Elton Brand,ATL,AtlantaHawks
"$1,690,680",2014-15,Dennis Schroder,ATL,AtlantaHawks
"$1,312,920",2014-15,John Jenkins,ATL,AtlantaHawks
"$1,250,000",2014-15,Pero Antic,ATL,AtlantaHawks
